id,a0,a1,a2,a3,a4,
cero,11.86360,184.40700,33.01140,0,-1,
cero,12.51220,84.52310,31.14940,0,-1,
cero,12.33550,349.95000,31.04780,0,-1,
cero,13.00000,49.37110,31.37500,0,-1,
cero,13.00000,33.19230,32.41670,0,-1,
cero,12.54550,20.68880,34.09090,0,-1,
cero,12.13640,78.93710,32.01140,0,-1,
cero,12.40540,127.29800,32.08450,0,-1,
cero,12.30000,26.42130,30.02500,0,-1,
cero,15.00000,56.00540,37.75000,0,-1,
cero,12.88240,194.25200,40.36760,0,-1,
cero,13.50000,38.08410,33.87500,0,-1,
cero,10.80000,312.49300,36.40000,0,-1,
cero,13.50000,27.06320,30.50000,0,-1,
cero,11.74590,62.20260,31.02740,0,-1,
cero,12.10550,141.29300,34.00540,0,-1,
cero,13.23530,45.92570,35.72060,0,-1,
cero,11.74290,332.96400,31.03210,0,-1,
cero,13.12650,188.54700,44.05570,0,-1,
cero,13.50000,171.49300,34.00000,0,-1,
cero,11.00000,115.88600,35.54170,0,-1,
cero,11.47060,344.97000,32.13240,0,-1,
cero,11.57140,94.75290,31.08930,0,-1,
cero,11.34150,230.07300,32.24690,0,-1,
cero,13.28570,176.93500,32.64290,0,-1,
cero,12.51720,175.95600,32.10780,0,-1,
cero,15.66640,127.36800,33.69680,0,-1,
cero,13.40000,246.96300,39.81670,0,-1,
cero,11.82280,234.41300,32.94060,0,-1,
cero,12.42860,8.87502,30.07140,0,-1,
cero,13.84620,123.46500,34.23080,0,-1,
cero,11.30770,0.42635,33.25960,0,-1,
cero,12.31280,34.30830,34.04920,0,-1,
cero,15.00000,287.14100,32.25000,0,-1,
cero,11.57140,58.88420,31.08930,0,-1,
cero,12.46150,139.47900,30.07690,0,-1,
cero,13.00000,5.73685,43.50000,0,-1,
cero,10.03450,71.38940,33.55600,0,-1,
cero,11.40000,12.91110,34.15000,0,-1,
cero,12.84620,69.56050,30.38780,0,-1,
cero,14.06210,98.54630,33.57980,0,-1,
cero,12.62790,89.75900,34.23550,0,-1,
cero,13.00000,180.60200,38.45830,0,-1,
cero,14.76920,238.70500,32.76920,0,-1,
cero,12.92310,244.82100,32.30770,0,-1,
cero,12.79590,221.46000,46.43110,0,-1,
cero,12.92310,11.52490,36.30770,0,-1,
cero,12.18750,242.49500,35.01560,0,-1,
cero,13.55170,267.70300,30.96980,0,-1,
cero,14.06250,13.12160,37.89060,0,-1,
cero,13.68750,186.86000,34.26560,0,-1,
cero,14.29920,171.26600,31.74570,0,-1,
cero,17.63030,227.81900,51.40720,0,-1,
cero,12.60000,12.78030,30.10000,0,-1,
cero,10.42110,344.51500,31.31580,0,-1,
cero,12.42860,252.20300,31.08930,0,-1,
cero,13.90910,136.54200,40.79420,0,-1,
cero,12.23080,59.26250,31.02880,0,-1,
cero,14.11760,353.10400,48.11770,0,-1,
cero,12.25710,72.04610,36.03210,0,-1,
cero,12.20000,66.75930,34.01670,0,-1,
cero,13.21550,244.50200,33.77040,0,-1,
cero,13.94120,293.99900,41.77940,0,-1,
cero,14.05260,347.73600,38.11180,0,-1,
cero,13.58980,357.12500,32.48550,0,-1,
cero,12.20930,249.12300,31.02620,0,-1,
cero,12.15000,214.56300,33.01250,0,-1,
cero,13.00000,302.81200,36.41670,0,-1,
cero,14.30770,265.55400,31.92310,0,-1,
cero,11.40490,217.92900,30.13500,0,-1,
